token	freq	candidates	local_verdict	local_value	sonnet_verdict	sonnet_value	agree
islais	130	islams	GARBAGE		NAME	Islais	N
munici	130	munich	GARBAGE		FIX	municipal	N
ceeding	129	ceding,feeding	FIX	ceding	FIX	proceeding	Y
additiona	129	additional,addition	FIX	additional	FIX	additional	Y
emsting	127	easting,emoting	GARBAGE		FIX	existing	N
terest	126	teresa,merest	FIX	terest	FIX	interest	Y
omcers	126	orders,owners	FIX	omcers	FIX	officers	Y
ferred	126	erred,feared	FIX	ferred	FIX	referred	Y
salesyard	124	kaleyard	GARBAGE		KEEP	salesyard	N
tificate	123	silicate,titivate	GARBAGE		FIX	certificate	N
cuav	122	cav	KEEP	cuav	GARBAGE		N
portation	121	hortation,potation	GARBAGE		FIX	transportation	N
providec	120	provided,provide	FIX	provided	FIX	provided	Y
ately	119	lately	FIX	ately	FIX	lately	Y
structed	119	strutted	FIX	structed	FIX	constructed	Y
szorion	119	orion,azorian	NAME	Orion	GARBAGE		N
mencing	119	fencing,mending	FIX	mencing	FIX	commencing	Y
codlin	119	codling,colin	GARBAGE		FIX	codling	N
beheve	117	behave	FIX	behave	FIX	believe	Y
misde	116	misdo	GARBAGE		FIX	misdemeanor	N
encumbrancers	116	encumbrances,encumbrancer	FIX	encumbrances	KEEP	encumbrancers	N
tuly	114	july,duly	FIX	july	FIX	july	Y
ciation	114	citation,cation	FIX	citation	FIX	citation	Y
eeeeeeeeee	114		GARBAGE		GARBAGE		Y
daty	113	date,day	FIX	date	FIX	duty	Y
construcd	112	construed,construct	FIX	construed	FIX	construed	Y
cceeeee	111		GARBAGE		GARBAGE		Y
eneeee	110	sneeze	GARBAGE		GARBAGE		Y
rnay	110	ray,nay	KEEP	rnay	FIX	may	N
puble	110	ruble,pule	FIX	pule	FIX	public	Y
bronshvag	110		GARBAGE		GARBAGE		Y
payrate	110	prorate,parade	FIX	prorate	FIX	pay rate	Y
agricul	109	agricola,auricula	FIX	agricul	FIX	agricultural	Y
cipal	108	copal	GARBAGE		FIX	principal	N
stantially	108	spatially,statically	FIX	stantially	FIX	substantially	Y
eross	108	gross,cross	FIX	gross	FIX	cross	Y
setencich	106		GARBAGE		NAME	Setencich	N
eters	105	enters,meters	FIX	enters	FIX	meters	Y
appropris	104		GARBAGE		FIX	appropriates	N
ceive	104	chive,clive	GARBAGE		FIX	receive	N
rict	104	rice,riot	KEEP	rict	FIX	district	N
inade	103	invade,inane	FIX	inane	FIX	made	Y
appheable	103		GARBAGE		FIX	applicable	N
teaa	102	team,tear	FIX	tear	FIX	term	Y
jurisdic	101	juristic,juridic	FIX	jurisdic	FIX	jurisdiction	Y
nonmonetary	101		KEEP	nonmonetary	KEEP	nonmonetary	Y
surance	100	durance	FIX	durance	FIX	insurance	Y
appor	100	apply,appear	FIX	apply	FIX	apportion	Y
ceeeeeee	100		GARBAGE		GARBAGE		Y
achon	100	acton,chon	GARBAGE		FIX	action	N
sacss	98	sacks,sachs	GARBAGE		NAME	Sachs	N
meanor	97	manor,meaner	FIX	meanor	FIX	misdemeanor	Y
urder	97	under,order	FIX	under	FIX	murder	Y
aunum	96	aurum	NAME	aurum	FIX	annum	N
thesum	95	these,them	FIX	these	GARBAGE		N
thorized	95	theorized	FIX	theorized	FIX	authorized	Y
seventytwo	95		KEEP	seventytwo	FIX	seventy-two	N
appheant	95		GARBAGE		FIX	applicant	N
approprin	94		GARBAGE		FIX	appropriation	N
slungshot	93	slingshot	FIX	slingshot	KEEP	slungshot	N
stahitorv	93		GARBAGE		FIX	statutory	N
distnet	92	distinct,distant	FIX	distinct	FIX	district	Y
roadmasters	91	broadcasters,headmasters	NAME	roadmasters	KEEP	roadmasters	N
cceee	90	creek,cheese	GARBAGE		GARBAGE		Y
earried	90	carried,married	FIX	carried	FIX	carried	Y
nonservice-connected	90		KEEP	nonservice-connected	KEEP	nonservice-connected	Y
joun	89	john,join	NAME	john	FIX	join	N
eeeeeeeeeee	89		GARBAGE		GARBAGE		Y
vight	88	right,eight	FIX	right	FIX	right	Y
twenty-cighth	88		GARBAGE		FIX	twenty-eighth	N
salanes	88	salines	FIX	salines	FIX	salaries	Y
deukmbejian	88		NAME	deukmbejian	NAME	Deukmejian	Y
onefourth	87		FIX	one fourth	FIX	one-fourth	Y
edness	86	redness	FIX	redness	FIX	indebtedness	Y
distributees	86	distributes,distributee	FIX	distributees	KEEP	distributees	N
xiiia	86	cilia,lilia	GARBAGE		KEEP	xiiia	N
pescetti	86		NAME	pescetti	NAME	Pescetti	Y
jobn	84	job,john	FIX	john	FIX	john	Y
subhaulers	84		GARBAGE		KEEP	subhaulers	N
heenses	83	defenses,lenses	FIX	defenses	FIX	licenses	Y
nonservice	83		GARBAGE		KEEP	nonservice	N
sunenor	82	senor	FIX	senor	FIX	superior	Y
tribution	81	attribution,retribution	FIX	attribution	FIX	distribution	Y
nelap	81	neap	FIX	neap	NAME	NELAP	N
penses	80	lenses,senses	FIX	senses	FIX	expenses	Y
sixtyone	80		FIX	sixty one	FIX	sixty-one	Y
cnar	80	car,char	FIX	car	FIX	char	Y
wueereeas	80		GARBAGE		FIX	whereas	N
trary	79	tracy,tray	FIX	tracy	FIX	contrary	Y
iners	79	miners,inert	FIX	miners	FIX	miners	Y
snech	79	sech,sneck	GARBAGE		GARBAGE		Y
innavigable	79	unnavigable	FIX	unnavigable	FIX	unnavigable	Y
eneneeee	79		GARBAGE		GARBAGE		Y
ceeeeeeee	78		GARBAGE		GARBAGE		Y
pomt	78	port,post	FIX	port	FIX	point	Y
tpz	78	the,to	KEEP	tpz	GARBAGE		N
mination	77	nomination,nation	FIX	nomination	FIX	termination	Y
registerable	77	registrable	FIX	registrable	FIX	registrable	Y
eeeneeee	76		GARBAGE		GARBAGE		Y
mobilehome-manufactured	76		KEEP	mobilehome-manufactured	KEEP	mobilehome-manufactured	Y
nonattorney	75		KEEP	nonattorney	KEEP	nonattorney	Y
subvened	75	subvene	FIX	subvene	KEEP	subvened	N
cceeeeee	75		GARBAGE		GARBAGE		Y
cnuct	74	cnut	GARBAGE		FIX	enact	N
deeree	73	degree,decree	FIX	degree	FIX	decree	Y
frora	73	fora,flora	FIX	fora	FIX	from	Y
fricot	73	tricot	FIX	tricot	NAME	Fricot	N
theretor	72	thereto,therefor	FIX	thereto	FIX	therefor	Y
bered	72	bred,breed	FIX	bred	FIX	numbered	Y
nondistrict	72		KEEP	nondistrict	KEEP	nondistrict	Y
jeases	71	leases,ceases	FIX	leases	FIX	leases	Y
cedure	71	reduce,secure	GARBAGE		FIX	procedure	N
istration	71	station,situation	FIX	station	FIX	administration	Y
fiood	71	food,flood	FIX	flood	FIX	flood	Y
nejedly-hart	71		NAME	nejedly-hart	NAME	Nejedly-Hart	Y
deukmbjian	71		NAME	deukmbjian	NAME	Deukmejian	Y
standardbreds	71		KEEP	standardbreds	KEEP	standardbreds	Y
eeeeeeeeeeee	70		GARBAGE		GARBAGE		Y
cortain	70	certain,contain	FIX	certain	FIX	certain	Y
wuerezas	70	guerezas	NAME	wuerezas	FIX	whereas	N
umted	70	muted,umped	FIX	united	FIX	united	Y
subpara	70	subpar	FIX	subpar	KEEP	subpara	N
noncontracting	70		KEEP	noncontracting	KEEP	noncontracting	Y
vendorization	70	deodorization,vectorization	GARBAGE		KEEP	vendorization	N
seventysix	69		KEEP	seventysix	FIX	seventy-six	N
trusteed	69	trustees,trustee	FIX	trustee	FIX	trusteed	Y
nonrecycled	69		KEEP	nonrecycled	KEEP	nonrecycled	Y
xijib	69	jib,fiji	NAME	jib	KEEP	xijib	N
contaming	68	contain,containing	FIX	containing	FIX	containing	Y
sictta	68	dicta,sita	FIX	dicta	FIX	dicta	Y
etary	68	teary	GARBAGE		FIX	dietary	N
eeneeee	68		GARBAGE		GARBAGE		Y
subcustodian	68		KEEP	subcustodian	KEEP	subcustodian	Y
sectionized	67	sectioned	FIX	sectioned	FIX	sectioned	Y
sereen	67	screen,serene	FIX	screen	FIX	screen	Y
cfis	67	chis	GARBAGE		GARBAGE		Y
sinkyone	66	sinkhole	GARBAGE		NAME	Sinkyone	N
faet	65	feet,fact	FIX	fact	FIX	fact	Y
cceeeeeee	65		GARBAGE		GARBAGE		Y
eitv	65	with,city	GARBAGE		FIX	city	N
noncommunity	65	noncommunist	KEEP	noncommunity	KEEP	noncommunity	Y
nongroup	65	ingroup	FIX	ingroup	KEEP	nongroup	N
atany	64	atony	FIX	atony	FIX	at any	Y
ccceee	64	accede	GARBAGE		GARBAGE		Y
empow	64	embow	GARBAGE		FIX	empower	N
lishment	64	ligament,liniment	FIX	lishment	FIX	establishment	Y
ornia	64	ornis	GARBAGE		FIX	california	N
asamby	64	sammy,samey	GARBAGE		FIX	assembly	N
panied	63	panier,pained	FIX	panied	FIX	accompanied	Y
sixtysix	63		KEEP	sixtysix	FIX	sixty-six	N
nonglaring	63		KEEP	nonglaring	KEEP	nonglaring	Y
posttrial	63	postural,postaxial	KEEP	posttrial	KEEP	posttrial	Y
counse	62	course,counsel	FIX	counsel	FIX	counsel	Y
perannum	62	perineum,geranium	GARBAGE		FIX	per annum	N
sixtytwo	62		KEEP	sixtytwo	FIX	sixty-two	N
inanner	62	inaner	GARBAGE		FIX	manner	N
nonreimbursable	62		KEEP	nonreimbursable	KEEP	nonreimbursable	Y
phenylpiperidine	62		KEEP	phenylpiperidine	KEEP	phenylpiperidine	Y
jines	61	lines,fines	FIX	lines	FIX	lines	Y
ifno	61	info,fino	FIX	info	FIX	if no	Y
ercek	61	creek,erect	GARBAGE		FIX	creek	N
calforma	61	alforja	FIX	california	FIX	california	Y
hbrary	61	horary	GARBAGE		FIX	library	N
nonpossessory	61		KEEP	nonpossessory	KEEP	nonpossessory	Y
prograrn	61	program,programs	FIX	program	FIX	program	Y
eation	60	nation,cation	GARBAGE		FIX	creation	N
tificates	60	silicates,titivates	GARBAGE		FIX	certificates	N
lcast	60	least,last	FIX	least	FIX	least	Y
ccceeee	60		GARBAGE		GARBAGE		Y
reconveyed	60	reconvened	KEEP	reconveyed	KEEP	reconveyed	Y
toadd	60	toad,todd	FIX	toadd	FIX	to add	Y
cratary	60	rotary,oratory	GARBAGE		FIX	secretary	N
nonurbanized	60		KEEP	nonurbanized	KEEP	nonurbanized	Y
calstars	60	casters,altars	GARBAGE		NAME	CalSTARS	N
teense	59	teens,tense	FIX	teens	FIX	license	Y
rehef	59	reef	FIX	reef	FIX	relief	Y
ollice	59	ollie,ellice	GARBAGE		FIX	office	N
eges	59	ages,eggs	FIX	ages	FIX	ages	Y
employec	59	employee,employer	FIX	employee	FIX	employee	Y
eops	59	tops,eos	GARBAGE		FIX	cops	N
executorships	59	executorship	KEEP	executorships	KEEP	executorships	Y
nonlegislative	59		KEEP	nonlegislative	KEEP	nonlegislative	Y
aanestad	59		NAME	aanestad	NAME	Aanestad	Y
berg-nejedly	59		NAME	berg-nejedly	NAME	Berg-Nejedly	Y
nonaluminum	59		KEEP	nonaluminum	KEEP	nonaluminum	Y
bronzan	59	bronze,brennan	FIX	bronze	NAME	Bronzan	N
fications	58	fictions,fixations	GARBAGE		FIX	specifications	N
nonwithdrawable	58		KEEP	nonwithdrawable	KEEP	nonwithdrawable	Y
jamps	58	james,camps	NAME	jamps	FIX	james	N
tributions	58	tribulations,attributions	FIX	tribulations	FIX	contributions	Y
ceeeeeeeee	58		GARBAGE		GARBAGE		Y
eneee	57	need,enter	GARBAGE		GARBAGE		Y
dohars	57		GARBAGE		FIX	dollars	N
eeeeeees	57		GARBAGE		GARBAGE		Y
sinte	57	site,since	FIX	site	FIX	since	Y
ercate	57	rate,estate	FIX	estate	FIX	create	Y
anuum	57	annul,vacuum	GARBAGE		FIX	annum	N
ereation	57	creation,erection	FIX	creation	FIX	creation	Y
brary	57	barry,brady	NAME	brady	FIX	library	N
manv	57	many,man	FIX	many	FIX	many	Y
mmimum	57	minimum,maximum	FIX	minimum	FIX	minimum	Y
guilucos	57		GARBAGE		GARBAGE		Y
rights-ofway	57		KEEP	rights-ofway	FIX	rights-of-way	N
recodified	57	codified,rectified	FIX	codified	KEEP	recodified	N
nonproject	57		GARBAGE		KEEP	nonproject	N
ccceeeee	57		GARBAGE		GARBAGE		Y
cuses	56	cases,uses	FIX	cases	FIX	causes	Y
nonprobate	56		KEEP	nonprobate	KEEP	nonprobate	Y
cighty-five	55		GARBAGE		FIX	eighty-five	N
yead	55	read,year	FIX	year	FIX	year	Y
nonaccepting	55		GARBAGE		KEEP	nonaccepting	N
calipatria	55		NAME	calipatria	NAME	Calipatria	Y
ehminating	55	eliminating,terminating	FIX	eliminating	FIX	eliminating	Y
subse	54	subs,subset	GARBAGE		FIX	subsequent	N
construet	54	construed,construct	FIX	construed	FIX	construct	Y
anee	54	ane,anew	GARBAGE		FIX	ance	N
issuec	54	issued,issue	FIX	issued	FIX	issued	Y
rolleall	54		GARBAGE		GARBAGE		Y
nonparking	54	nonpaying,nonworking	KEEP	nonparking	KEEP	nonparking	Y
pletion	53	election,portion	GARBAGE		FIX	completion	N
thority	53	thorite	FIX	thority	FIX	authority	Y
hibited	53	habited	FIX	hibited	FIX	prohibited	Y
enses	53	eases,lenses	FIX	lenses	FIX	licenses	Y
firet	53	first,fire	FIX	first	FIX	first	Y
inelnded	53	included,intended	FIX	included	FIX	included	Y
constituphrase	53		GARBAGE		GARBAGE		Y
microphotographs	53	microphotograph	KEEP	microphotographs	KEEP	microphotographs	Y
ploqtam	53		GARBAGE		GARBAGE		Y
subfranchisor	53		KEEP	subfranchisor	KEEP	subfranchisor	Y
counell	52	cornell	FIX	counell	FIX	council	Y
cccee	52	cycle,cree	GARBAGE		GARBAGE		Y
jomtly	52	comply,jointly	FIX	jointly	FIX	jointly	Y
newsectin	52		GARBAGE		FIX	new section	N
phenylacetone	52		KEEP	phenylacetone	KEEP	phenylacetone	Y
apml	51	all,am	FIX	am	FIX	april	Y
potition	51	petition,position	FIX	petition	FIX	petition	Y
sxorion	51	orion,chorion	NAME	orion	GARBAGE		N
onethird	51		KEEP	onethird	FIX	one-third	N
stamislaus	51		NAME	stamislaus	NAME	Stanislaus	Y
tirne	51	tire,tine	FIX	time	FIX	time	Y
vards	51	wards,cards	FIX	wards	FIX	yards	Y
eraft	51	draft,craft	FIX	draft	FIX	draft	Y
sonnel	51	sonnet	GARBAGE		FIX	personnel	N
newsecton	51		GARBAGE		FIX	new section	N
penod	51	pernod	NAME	penod	FIX	period	N
nonschool	51		FIX	nonschool	KEEP	nonschool	N
cytotechnologist	51		KEEP	cytotechnologist	KEEP	cytotechnologist	Y
nondomiciliary	51		FIX	nondomiciliary	KEEP	nondomiciliary	N
apnum	50	opium,annul	GARBAGE		FIX	annum	N
ifornia	50	fornix,ionia	FIX	ifornia	FIX	california	Y
agement	50	agreement,agent	FIX	agement	FIX	management	Y
incorpora	50	incorporate,corpora	FIX	incorpora	FIX	incorporates	Y
semor	50	senor	NAME	senor	FIX	senior	N
appropriaappropriated	50		GARBAGE		FIX	appropriated	N
cleeted	50	fleeted,sleeted	GARBAGE		FIX	elected	N
gabilan	50	fabian,basilan	NAME	gabilan	NAME	Gabilan	Y
neonatorum	50		KEEP	neonatorum	KEEP	neonatorum	Y
sctc	50	act,sec	FIX	sctc	FIX	section	Y
annnm	49	annam	NAME	annnm	FIX	annum	N
omee	49	omer,omen	GARBAGE		FIX	office	N
ouly	49	only,july	FIX	ouly	FIX	only	Y
buperin	49	burin,butyrin	GARBAGE		FIX	superintendent	N
eeeeeeeeeeeee	49		GARBAGE		GARBAGE		Y
contamers	49	containers,consumers	FIX	contamers	FIX	containers	Y
rightsof-way	49		KEEP	rightsof-way	FIX	rights-of-way	N
nonemployee	49		FIX	nonemployee	KEEP	nonemployee	N
neneeee	49		GARBAGE		GARBAGE		Y
micrographics	49		KEEP	micrographics	KEEP	micrographics	Y
xiti	48	titi,ziti	GARBAGE		KEEP	xiti	N
ecee	48	emcee	FIX	ecee	GARBAGE		N
deerce	48	deere	FIX	deere	FIX	decree	Y
jnly	48	only,july	FIX	only	FIX	july	Y
reletting	48	resetting,relenting	FIX	reletting	KEEP	reletting	N
oddnumbered	48	outnumbered	FIX	oddnumbered	FIX	odd-numbered	Y
nonrepairable	48	unrepairable	FIX	unrepairable	KEEP	nonrepairable	N
nonsworn	48	forsworn	FIX	nonsworn	KEEP	nonsworn	N
thesaid	47	thebaid	KEEP	thesaid	FIX	the said	N
zanjas	47	ganjas	NAME	zanjas	KEEP	zanjas	N
ccceeeeee	47		GARBAGE		GARBAGE		Y
ercam	47	cream,gram	FIX	cream	FIX	cream	Y
eusting	47	dusting,easting	FIX	eusting	FIX	existing	Y
eeeeees	47	peewees,teepees	GARBAGE		GARBAGE		Y
preaddressed	47	readdressed	FIX	preaddressed	KEEP	preaddressed	N
n-ethylephedrine	47		KEEP	n-ethylephedrine	KEEP	n-ethylephedrine	Y
acerned	46	accrued,earned	FIX	accrued	FIX	concerned	Y
odispo	46	disco,dipso	GARBAGE		NAME	Obispo	N
erest	46	erect,rest	FIX	rest	FIX	interest	Y
lampara	46	lamar,samara	NAME	lampara	KEEP	lampara	N
mghts	46	mights	FIX	mights	FIX	rights	Y
deliverv	46	delivery,deliver	FIX	delivery	FIX	delivery	Y
earrving	46	earring	FIX	earring	FIX	carrying	Y
mills-alquist-deddeh	46		NAME	mills-alquist-deddeh	NAME	Mills-Alquist-Deddeh	Y
noncontract	46		GARBAGE		KEEP	noncontract	N
n-methylephedrine	46		KEEP	n-methylephedrine	KEEP	n-methylephedrine	Y
lempert-keene-seastrand	46		NAME	lempert-keene-seastrand	NAME	Lempert-Keene-Seastrand	Y
gations	45	nations,cations	FIX	cations	FIX	obligations	Y
seventyone	45		FIX	seventy one	FIX	seventy-one	Y
aequiring	45	requiring,acquiring	FIX	acquiring	FIX	acquiring	Y
nondelinquent	45		KEEP	nondelinquent	KEEP	nondelinquent	Y
nonhospital	45		KEEP	nonhospital	KEEP	nonhospital	Y
monagan	45	monaghan,monacan	NAME	Monaghan	NAME	Monagan	Y
nondecay	45		KEEP	nondecay	KEEP	nondecay	Y
incorpo	44		FIX	incorporate	FIX	incorporates	Y
steerers	44	steerer	FIX	steerers	KEEP	steerers	N
xiia	44	ixia	GARBAGE		KEEP	xiia	N
hearme	44	hearse,heaume	GARBAGE		GARBAGE		Y
uncler	44	uncle,unclear	FIX	uncle	FIX	unclear	Y
eeeeeeeeees	44		GARBAGE		GARBAGE		Y
nonprotected	44	unprotected	FIX	unprotected	KEEP	nonprotected	N
vuich	44	such,which	FIX	such	FIX	such	Y
anveles	43	aneles	GARBAGE		NAME	Angeles	N
istrator	43	stator,castrator	FIX	administrator	FIX	administrator	Y
coer	43	cover,cor	FIX	cor	FIX	cover	Y
drytown	43	dayton,drown	NAME	Drytown	NAME	Drytown	Y
cighty-three	43		FIX	eighty three	FIX	eighty-three	Y
terins	43	terns,serins	GARBAGE		FIX	terms	N
appropriain	43	appropriate,appropriation	FIX	appropriation	FIX	appropriation	Y
hercinabove	43		GARBAGE		FIX	hereinabove	N
licensce	43	license,licensee	FIX	license	FIX	license	Y
nonmerit	43		KEEP	nonmerit	KEEP	nonmerit	Y
tified	42	tidied,tiffed	FIX	certified	FIX	certified	Y
stule	42	stale,style	FIX	style	FIX	statute	Y
bation	42	nation,cation	FIX	caption	FIX	probation	Y
onehundredths	42		KEEP	onehundredths	FIX	one-hundredths	N
eeeeeeeeeeeeee	42		GARBAGE		GARBAGE		Y
rnade	42	reade	FIX	made	FIX	made	Y
certineate	42		FIX	certificate	FIX	certificate	Y
heensee	42		GARBAGE		FIX	licensee	N
roncovieri	42		NAME	Roncovieri	NAME	Roncovieri	Y
butions	42	buttons,bunions	FIX	buttons	FIX	contributions	Y
dihydrocodeinone	42		KEEP	dihydrocodeinone	KEEP	dihydrocodeinone	Y
nonconfining	42		KEEP	nonconfining	KEEP	nonconfining	Y
pledgees	41	pledges,pledgee	FIX	pledgees	KEEP	pledgees	N
fortytwo	41		KEEP	fortytwo	FIX	forty-two	N
rutes	41	rules,rates	FIX	rules	FIX	rules	Y
eceeee	41	eceses	GARBAGE		GARBAGE		Y
rectly	41	erectly	FIX	directly	FIX	directly	Y
honses	41	houses,horses	FIX	houses	FIX	houses	Y
exeented	41	expended,executed	FIX	expended	FIX	executed	Y
depu	41	depp	GARBAGE		FIX	deputy	N
torth	41	forth,north	FIX	forth	FIX	forth	Y
siskivou	41		GARBAGE		NAME	Siskiyou	N
statcs	41	states,stats	FIX	states	FIX	states	Y
cahformia	41		NAME	California	FIX	california	N
audiometrist	41	audiometric	FIX	audiometrist	KEEP	audiometrist	N
domenigoni	41		NAME	Domeniconi	NAME	Domenigoni	Y
privatizer	41	privatize,privatized	FIX	privatized	KEEP	privatizer	N
nonassisted	41	unassisted	FIX	unassisted	KEEP	nonassisted	N
jtpa	41	ta,pa	GARBAGE		KEEP	JTPA	N
annim	40	annie,annam	NAME	Annie	FIX	annum	N
ppropria	40		GARBAGE		FIX	appropriation	N
chises	40	chases,crises	FIX	crises	FIX	franchises	Y
inaking	40	inking,snaking	FIX	snaking	FIX	making	Y
inws	40	ins,ines	GARBAGE		FIX	laws	N
appropna	40		GARBAGE		FIX	appropriation	N
exeention	40	exemption,execution	FIX	execution	FIX	exemption	Y
elee	40	lee,else	NAME	Lee	FIX	else	N
dations	40	nations,cations	FIX	nations	FIX	foundations	Y
revolv	40	revolve,revolt	FIX	revolve	FIX	revolve	Y
misdemeanants	40	misdemeanant	FIX	misdemeanant	KEEP	misdemeanants	N
demulsifiers	40	emulsifiers,demulsifies	FIX	demulsifiers	KEEP	demulsifiers	N
midpeninsula	40		NAME	Midpeninsula	KEEP	midpeninsula	N
nonprepackaged	40		GARBAGE		KEEP	nonprepackaged	N
termof	39	termor	GARBAGE		FIX	term of	N
fortyone	39	foregone,fortune	FIX	fortyone	FIX	forty-one	Y
ninetysix	39		KEEP	ninetysix	FIX	ninety-six	N
inany	39	inane	FIX	inane	FIX	in any	Y
tations	39	stations,nations	FIX	stations	FIX	stations	Y
caminetti	39	marinetti	NAME	Marinetti	NAME	Caminetti	Y
btals	39	baals	GARBAGE		FIX	totals	N
levving	39	levying,leaving	FIX	levying	FIX	levying	Y
displaved	39	displayed,displaced	FIX	displayed	FIX	displayed	Y
nonpotable	39		KEEP	nonpotable	KEEP	nonpotable	Y
reneal	39	repeal,renewal	FIX	repeal	FIX	repeal	Y
uncreamed	39	uncreated,undreamed	GARBAGE		GARBAGE		Y
audiometrists	39		KEEP	audiometrists	KEEP	audiometrists	Y
compensability	39	condensability	GARBAGE		KEEP	compensability	N
cost-of-hving	39		GARBAGE		FIX	cost-of-living	N
nonfederally	39		KEEP	nonfederally	KEEP	nonfederally	Y
forestwide	39	foreside	FIX	forestwide	KEEP	forestwide	N
nonerasable	39	inerasable	GARBAGE		KEEP	nonerasable	N
commander-in-chicf	38		GARBAGE		FIX	commander-in-chief	N
fected	38	felted,feted	GARBAGE		FIX	affected	N
offunds	38	offends	GARBAGE		FIX	of funds	N
