token	freq	corrected	tier	sonnet_verdict	gemma_verdict
eenter	197	center	AUTO_SAFE	FIX	FIX
clets	193	cleats	SONNET_FIX	FIX	FIX
eent	192	cent	SONNET_FIX	FIX	FIX
subitems	192		KEEP	KEEP	FIX
diserction	191	discretion	AUTO_SAFE	FIX	FIX
remanufacturer	191		KEEP	KEEP	FIX
quired	190	required	SONNET_FIX	FIX	GARBAGE
ceeee	187		GARBAGE_FLAG	GARBAGE	GARBAGE
shaj	183	shall	SONNET_FIX	FIX	FIX
ttem	183	item	AUTO_SAFE	FIX	FIX
sonth	179	month	SONNET_FIX	FIX	FIX
ptember	178	september	AUTO_SAFE	FIX	FIX
housecar	176		KEEP	KEEP	NAME
thereo	176	thereof	AUTO_SAFE	FIX	FIX
eeeeeeeee	174		GARBAGE_FLAG	GARBAGE	GARBAGE
nonphysician	170		KEEP	KEEP	KEEP
retary	169	secretary	SONNET_FIX	FIX	FIX
legisla	168	legislature	SONNET_FIX	FIX	FIX
ercated	166	enacted	AUTO_SAFE	FIX	FIX
bioanalyst	162		KEEP	KEEP	KEEP
followmg	155	following	AUTO_SAFE	FIX	FIX
gation	155	igation	SONNET_FIX	FIX	FIX
elock	154	clock	SONNET_FIX	FIX	FIX
omeers	154	officers	SONNET_FIX	FIX	NAME
whon	154	who	AUTO_SAFE	FIX	FIX
ceeeeee	153		GARBAGE_FLAG	GARBAGE	GARBAGE
zation	151	ization	SONNET_FIX	FIX	FIX
enene	149		GARBAGE_FLAG	GARBAGE	FIX
repressuring	145		KEEP	FIX	FIX
reregisters	145		KEEP	KEEP	FIX
reflectorized	140		KEEP	KEEP	GARBAGE
hmited	139	limited	AUTO_SAFE	FIX	FIX
porated	139	incorporated	SONNET_FIX	FIX	FIX
lje	138	the	SONNET_FIX	FIX	FIX
certam	136	certain	SONNET_FIX	FIX	GARBAGE
strued	136	construed	SONNET_FIX	FIX	FIX
indorser	134		KEEP	KEEP	FIX
norpseudoephedrine	132		KEEP	KEEP	GARBAGE
pubheation	131	publication	SONNET_FIX	FIX	GARBAGE
islais	130	Islais	SONNET_NAME	NAME	GARBAGE
munici	130	municipal	SONNET_FIX	FIX	GARBAGE
additiona	129	additional	AUTO_SAFE	FIX	FIX
ceeding	129	proceeding	SONNET_FIX	FIX	FIX
emsting	127	existing	SONNET_FIX	FIX	GARBAGE
ferred	126	referred	SONNET_FIX	FIX	FIX
omcers	126	officers	SONNET_FIX	FIX	FIX
terest	126	interest	SONNET_FIX	FIX	FIX
salesyard	124		KEEP	KEEP	GARBAGE
tificate	123	certificate	SONNET_FIX	FIX	GARBAGE
cuav	122		GARBAGE_FLAG	GARBAGE	KEEP
portation	121	transportation	SONNET_FIX	FIX	GARBAGE
providec	120	provided	AUTO_SAFE	FIX	FIX
ately	119	lately	SONNET_FIX	FIX	FIX
codlin	119	codling	SONNET_FIX	FIX	GARBAGE
mencing	119	commencing	SONNET_FIX	FIX	FIX
structed	119	constructed	SONNET_FIX	FIX	FIX
szorion	119		GARBAGE_FLAG	GARBAGE	NAME
beheve	117	believe	SONNET_FIX	FIX	FIX
encumbrancers	116		KEEP	KEEP	FIX
misde	116	misdemeanor	SONNET_FIX	FIX	GARBAGE
ciation	114	citation	AUTO_SAFE	FIX	FIX
eeeeeeeeee	114		GARBAGE_FLAG	GARBAGE	GARBAGE
tuly	114	july	AUTO_SAFE	FIX	FIX
daty	113	duty	SONNET_FIX	FIX	FIX
construcd	112	construed	AUTO_SAFE	FIX	FIX
cceeeee	111		GARBAGE_FLAG	GARBAGE	GARBAGE
bronshvag	110		GARBAGE_FLAG	GARBAGE	GARBAGE
eneeee	110		GARBAGE_FLAG	GARBAGE	GARBAGE
payrate	110	pay rate	SONNET_FIX	FIX	FIX
puble	110	public	SONNET_FIX	FIX	FIX
rnay	110	may	SONNET_FIX	FIX	KEEP
agricul	109	agricultural	SONNET_FIX	FIX	FIX
cipal	108	principal	SONNET_FIX	FIX	GARBAGE
eross	108	cross	SONNET_FIX	FIX	FIX
stantially	108	substantially	SONNET_FIX	FIX	FIX
setencich	106	Setencich	SONNET_NAME	NAME	GARBAGE
eters	105	meters	SONNET_FIX	FIX	FIX
appropris	104	appropriates	SONNET_FIX	FIX	GARBAGE
ceive	104	receive	SONNET_FIX	FIX	GARBAGE
rict	104	district	SONNET_FIX	FIX	KEEP
appheable	103	applicable	SONNET_FIX	FIX	GARBAGE
inade	103	made	SONNET_FIX	FIX	FIX
teaa	102	term	SONNET_FIX	FIX	FIX
jurisdic	101	jurisdiction	SONNET_FIX	FIX	FIX
nonmonetary	101		KEEP	KEEP	KEEP
achon	100	action	SONNET_FIX	FIX	GARBAGE
appor	100	apportion	SONNET_FIX	FIX	FIX
ceeeeeee	100		GARBAGE_FLAG	GARBAGE	GARBAGE
surance	100	insurance	SONNET_FIX	FIX	FIX
sacss	98	Sachs	SONNET_NAME	NAME	GARBAGE
meanor	97	misdemeanor	SONNET_FIX	FIX	FIX
urder	97	murder	SONNET_FIX	FIX	FIX
aunum	96	annum	SONNET_FIX	FIX	NAME
appheant	95	applicant	SONNET_FIX	FIX	GARBAGE
seventytwo	95	seventy-two	SONNET_FIX	FIX	KEEP
thesum	95		GARBAGE_FLAG	GARBAGE	FIX
thorized	95	authorized	SONNET_FIX	FIX	FIX
approprin	94	appropriation	SONNET_FIX	FIX	GARBAGE
slungshot	93		KEEP	KEEP	FIX
stahitorv	93	statutory	SONNET_FIX	FIX	GARBAGE
distnet	92	district	SONNET_FIX	FIX	FIX
roadmasters	91		KEEP	KEEP	NAME
cceee	90		GARBAGE_FLAG	GARBAGE	GARBAGE
earried	90	carried	AUTO_SAFE	FIX	FIX
nonservice-connected	90		KEEP	KEEP	KEEP
eeeeeeeeeee	89		GARBAGE_FLAG	GARBAGE	GARBAGE
joun	89	join	SONNET_FIX	FIX	NAME
deukmbejian	88	Deukmejian	SONNET_NAME	NAME	NAME
salanes	88	salaries	SONNET_FIX	FIX	FIX
twenty-cighth	88	twenty-eighth	SONNET_FIX	FIX	GARBAGE
vight	88	right	AUTO_SAFE	FIX	FIX
onefourth	87	one-fourth	SONNET_FIX	FIX	FIX
distributees	86		KEEP	KEEP	FIX
edness	86	indebtedness	SONNET_FIX	FIX	FIX
pescetti	86	Pescetti	SONNET_NAME	NAME	NAME
xiiia	86		KEEP	KEEP	GARBAGE
jobn	84	john	AUTO_SAFE	FIX	FIX
subhaulers	84		KEEP	KEEP	GARBAGE
heenses	83	licenses	SONNET_FIX	FIX	FIX
nonservice	83		KEEP	KEEP	GARBAGE
sunenor	82	superior	SONNET_FIX	FIX	FIX
nelap	81	NELAP	SONNET_NAME	NAME	FIX
tribution	81	distribution	SONNET_FIX	FIX	FIX
cnar	80	char	SONNET_FIX	FIX	FIX
penses	80	expenses	SONNET_FIX	FIX	FIX
sixtyone	80	sixty-one	SONNET_FIX	FIX	FIX
wueereeas	80	whereas	SONNET_FIX	FIX	GARBAGE
eneneeee	79		GARBAGE_FLAG	GARBAGE	GARBAGE
iners	79	miners	AUTO_SAFE	FIX	FIX
innavigable	79	unnavigable	AUTO_SAFE	FIX	FIX
snech	79		GARBAGE_FLAG	GARBAGE	GARBAGE
trary	79	contrary	SONNET_FIX	FIX	FIX
ceeeeeeee	78		GARBAGE_FLAG	GARBAGE	GARBAGE
pomt	78	point	SONNET_FIX	FIX	FIX
tpz	78		GARBAGE_FLAG	GARBAGE	KEEP
mination	77	termination	SONNET_FIX	FIX	FIX
registerable	77	registrable	AUTO_SAFE	FIX	FIX
eeeneeee	76		GARBAGE_FLAG	GARBAGE	GARBAGE
mobilehome-manufactured	76		KEEP	KEEP	KEEP
cceeeeee	75		GARBAGE_FLAG	GARBAGE	GARBAGE
nonattorney	75		KEEP	KEEP	KEEP
subvened	75		KEEP	KEEP	FIX
cnuct	74	enact	SONNET_FIX	FIX	GARBAGE
deeree	73	decree	SONNET_FIX	FIX	FIX
fricot	73	Fricot	SONNET_NAME	NAME	FIX
frora	73	from	SONNET_FIX	FIX	FIX
bered	72	numbered	SONNET_FIX	FIX	FIX
nondistrict	72		KEEP	KEEP	KEEP
theretor	72	therefor	SONNET_FIX	FIX	FIX
cedure	71	procedure	SONNET_FIX	FIX	GARBAGE
deukmbjian	71	Deukmejian	SONNET_NAME	NAME	NAME
fiood	71	flood	AUTO_SAFE	FIX	FIX
istration	71	administration	SONNET_FIX	FIX	FIX
jeases	71	leases	AUTO_SAFE	FIX	FIX
nejedly-hart	71	Nejedly-Hart	SONNET_NAME	NAME	NAME
standardbreds	71		KEEP	KEEP	KEEP
cortain	70	certain	AUTO_SAFE	FIX	FIX
eeeeeeeeeeee	70		GARBAGE_FLAG	GARBAGE	GARBAGE
noncontracting	70		KEEP	KEEP	KEEP
subpara	70		KEEP	KEEP	FIX
umted	70	united	AUTO_SAFE	FIX	FIX
vendorization	70		KEEP	KEEP	GARBAGE
wuerezas	70	whereas	SONNET_FIX	FIX	NAME
nonrecycled	69		KEEP	KEEP	KEEP
seventysix	69	seventy-six	SONNET_FIX	FIX	KEEP
trusteed	69		KEEP	FIX	FIX
xijib	69		KEEP	KEEP	NAME
contaming	68	containing	AUTO_SAFE	FIX	FIX
eeneeee	68		GARBAGE_FLAG	GARBAGE	GARBAGE
etary	68	dietary	SONNET_FIX	FIX	GARBAGE
sictta	68	dicta	AUTO_SAFE	FIX	FIX
subcustodian	68		KEEP	KEEP	KEEP
cfis	67		GARBAGE_FLAG	GARBAGE	GARBAGE
sectionized	67	sectioned	AUTO_SAFE	FIX	FIX
sereen	67	screen	AUTO_SAFE	FIX	FIX
sinkyone	66	Sinkyone	SONNET_NAME	NAME	GARBAGE
cceeeeeee	65		GARBAGE_FLAG	GARBAGE	GARBAGE
eitv	65	city	SONNET_FIX	FIX	GARBAGE
faet	65	fact	AUTO_SAFE	FIX	FIX
noncommunity	65		KEEP	KEEP	KEEP
nongroup	65		KEEP	KEEP	FIX
asamby	64	assembly	SONNET_FIX	FIX	GARBAGE
atany	64	at any	SONNET_FIX	FIX	FIX
ccceee	64		GARBAGE_FLAG	GARBAGE	GARBAGE
empow	64	empower	SONNET_FIX	FIX	GARBAGE
lishment	64	establishment	SONNET_FIX	FIX	FIX
ornia	64	california	SONNET_FIX	FIX	GARBAGE
nonglaring	63		KEEP	KEEP	KEEP
panied	63	accompanied	SONNET_FIX	FIX	FIX
posttrial	63		KEEP	KEEP	KEEP
sixtysix	63	sixty-six	SONNET_FIX	FIX	KEEP
counse	62	counsel	AUTO_SAFE	FIX	FIX
inanner	62	manner	SONNET_FIX	FIX	GARBAGE
nonreimbursable	62		KEEP	KEEP	KEEP
perannum	62	per annum	SONNET_FIX	FIX	GARBAGE
phenylpiperidine	62		KEEP	KEEP	KEEP
sixtytwo	62	sixty-two	SONNET_FIX	FIX	KEEP
calforma	61	california	AUTO_SAFE	FIX	FIX
ercek	61	creek	SONNET_FIX	FIX	GARBAGE
hbrary	61	library	SONNET_FIX	FIX	GARBAGE
ifno	61	if no	SONNET_FIX	FIX	FIX
jines	61	lines	AUTO_SAFE	FIX	FIX
nonpossessory	61		KEEP	KEEP	KEEP
prograrn	61	program	AUTO_SAFE	FIX	FIX
calstars	60	CalSTARS	SONNET_NAME	NAME	GARBAGE
ccceeee	60		GARBAGE_FLAG	GARBAGE	GARBAGE
cratary	60	secretary	SONNET_FIX	FIX	GARBAGE
eation	60	creation	SONNET_FIX	FIX	GARBAGE
lcast	60	least	AUTO_SAFE	FIX	FIX
nonurbanized	60		KEEP	KEEP	KEEP
reconveyed	60		KEEP	KEEP	KEEP
tificates	60	certificates	SONNET_FIX	FIX	GARBAGE
toadd	60	to add	SONNET_FIX	FIX	FIX
aanestad	59	Aanestad	SONNET_NAME	NAME	NAME
berg-nejedly	59	Berg-Nejedly	SONNET_NAME	NAME	NAME
bronzan	59	Bronzan	SONNET_NAME	NAME	FIX
eges	59	ages	AUTO_SAFE	FIX	FIX
employec	59	employee	AUTO_SAFE	FIX	FIX
eops	59	cops	SONNET_FIX	FIX	GARBAGE
executorships	59		KEEP	KEEP	KEEP
nonaluminum	59		KEEP	KEEP	KEEP
nonlegislative	59		KEEP	KEEP	KEEP
ollice	59	office	SONNET_FIX	FIX	GARBAGE
rehef	59	relief	SONNET_FIX	FIX	FIX
teense	59	license	SONNET_FIX	FIX	FIX
ceeeeeeeee	58		GARBAGE_FLAG	GARBAGE	GARBAGE
fications	58	specifications	SONNET_FIX	FIX	GARBAGE
jamps	58	james	SONNET_FIX	FIX	NAME
nonwithdrawable	58		KEEP	KEEP	KEEP
tributions	58	contributions	SONNET_FIX	FIX	FIX
anuum	57	annum	SONNET_FIX	FIX	GARBAGE
brary	57	library	SONNET_FIX	FIX	NAME
ccceeeee	57		GARBAGE_FLAG	GARBAGE	GARBAGE
dohars	57	dollars	SONNET_FIX	FIX	GARBAGE
eeeeeees	57		GARBAGE_FLAG	GARBAGE	GARBAGE
eneee	57		GARBAGE_FLAG	GARBAGE	GARBAGE
ercate	57	create	SONNET_FIX	FIX	FIX
ereation	57	creation	AUTO_SAFE	FIX	FIX
guilucos	57		GARBAGE_FLAG	GARBAGE	GARBAGE
manv	57	many	AUTO_SAFE	FIX	FIX
mmimum	57	minimum	AUTO_SAFE	FIX	FIX
nonproject	57		KEEP	KEEP	GARBAGE
recodified	57		KEEP	KEEP	FIX
rights-ofway	57	rights-of-way	SONNET_FIX	FIX	KEEP
sinte	57	since	SONNET_FIX	FIX	FIX
cuses	56	causes	SONNET_FIX	FIX	FIX
nonprobate	56		KEEP	KEEP	KEEP
calipatria	55	Calipatria	SONNET_NAME	NAME	NAME
cighty-five	55	eighty-five	SONNET_FIX	FIX	GARBAGE
ehminating	55	eliminating	AUTO_SAFE	FIX	FIX
nonaccepting	55		KEEP	KEEP	GARBAGE
yead	55	year	AUTO_SAFE	FIX	FIX
anee	54	ance	SONNET_FIX	FIX	GARBAGE
construet	54	construct	SONNET_FIX	FIX	FIX
issuec	54	issued	AUTO_SAFE	FIX	FIX
nonparking	54		KEEP	KEEP	KEEP
rolleall	54		GARBAGE_FLAG	GARBAGE	GARBAGE
subse	54	subsequent	SONNET_FIX	FIX	GARBAGE
constituphrase	53		GARBAGE_FLAG	GARBAGE	GARBAGE
enses	53	licenses	SONNET_FIX	FIX	FIX
firet	53	first	AUTO_SAFE	FIX	FIX
hibited	53	prohibited	SONNET_FIX	FIX	FIX
inelnded	53	included	AUTO_SAFE	FIX	FIX
microphotographs	53		KEEP	KEEP	KEEP
pletion	53	completion	SONNET_FIX	FIX	GARBAGE
ploqtam	53		GARBAGE_FLAG	GARBAGE	GARBAGE
subfranchisor	53		KEEP	KEEP	KEEP
thority	53	authority	SONNET_FIX	FIX	FIX
cccee	52		GARBAGE_FLAG	GARBAGE	GARBAGE
counell	52	council	SONNET_FIX	FIX	FIX
jomtly	52	jointly	AUTO_SAFE	FIX	FIX
newsectin	52	new section	SONNET_FIX	FIX	GARBAGE
phenylacetone	52		KEEP	KEEP	KEEP
apml	51	april	SONNET_FIX	FIX	FIX
cytotechnologist	51		KEEP	KEEP	KEEP
eraft	51	draft	AUTO_SAFE	FIX	FIX
newsecton	51	new section	SONNET_FIX	FIX	GARBAGE
nondomiciliary	51		KEEP	KEEP	FIX
nonschool	51		KEEP	KEEP	FIX
onethird	51	one-third	SONNET_FIX	FIX	KEEP
penod	51	period	SONNET_FIX	FIX	NAME
potition	51	petition	AUTO_SAFE	FIX	FIX
sonnel	51	personnel	SONNET_FIX	FIX	GARBAGE
stamislaus	51	Stanislaus	SONNET_NAME	NAME	NAME
sxorion	51		GARBAGE_FLAG	GARBAGE	NAME
tirne	51	time	AUTO_SAFE	FIX	FIX
vards	51	yards	SONNET_FIX	FIX	FIX
agement	50	management	SONNET_FIX	FIX	FIX
apnum	50	annum	SONNET_FIX	FIX	GARBAGE
appropriaappropriated	50	appropriated	SONNET_FIX	FIX	GARBAGE
cleeted	50	elected	SONNET_FIX	FIX	GARBAGE
gabilan	50	Gabilan	SONNET_NAME	NAME	NAME
ifornia	50	california	SONNET_FIX	FIX	FIX
incorpora	50	incorporates	SONNET_FIX	FIX	FIX
neonatorum	50		KEEP	KEEP	KEEP
sctc	50	section	SONNET_FIX	FIX	FIX
semor	50	senior	SONNET_FIX	FIX	NAME
annnm	49	annum	SONNET_FIX	FIX	NAME
buperin	49	superintendent	SONNET_FIX	FIX	GARBAGE
contamers	49	containers	SONNET_FIX	FIX	FIX
eeeeeeeeeeeee	49		GARBAGE_FLAG	GARBAGE	GARBAGE
micrographics	49		KEEP	KEEP	KEEP
neneeee	49		GARBAGE_FLAG	GARBAGE	GARBAGE
nonemployee	49		KEEP	KEEP	FIX
omee	49	office	SONNET_FIX	FIX	GARBAGE
ouly	49	only	SONNET_FIX	FIX	FIX
rightsof-way	49	rights-of-way	SONNET_FIX	FIX	KEEP
deerce	48	decree	SONNET_FIX	FIX	FIX
ecee	48		GARBAGE_FLAG	GARBAGE	FIX
jnly	48	july	SONNET_FIX	FIX	FIX
nonrepairable	48		KEEP	KEEP	FIX
nonsworn	48		KEEP	KEEP	FIX
oddnumbered	48	odd-numbered	SONNET_FIX	FIX	FIX
reletting	48		KEEP	KEEP	FIX
xiti	48		KEEP	KEEP	GARBAGE
ccceeeeee	47		GARBAGE_FLAG	GARBAGE	GARBAGE
eeeeees	47		GARBAGE_FLAG	GARBAGE	GARBAGE
ercam	47	cream	AUTO_SAFE	FIX	FIX
eusting	47	existing	SONNET_FIX	FIX	FIX
n-ethylephedrine	47		KEEP	KEEP	KEEP
preaddressed	47		KEEP	KEEP	FIX
thesaid	47	the said	SONNET_FIX	FIX	KEEP
zanjas	47		KEEP	KEEP	NAME
acerned	46	concerned	SONNET_FIX	FIX	FIX
deliverv	46	delivery	AUTO_SAFE	FIX	FIX
earrving	46	carrying	SONNET_FIX	FIX	FIX
erest	46	interest	SONNET_FIX	FIX	FIX
lampara	46		KEEP	KEEP	NAME
lempert-keene-seastrand	46	Lempert-Keene-Seastrand	SONNET_NAME	NAME	NAME
mghts	46	rights	SONNET_FIX	FIX	FIX
mills-alquist-deddeh	46	Mills-Alquist-Deddeh	SONNET_NAME	NAME	NAME
n-methylephedrine	46		KEEP	KEEP	KEEP
noncontract	46		KEEP	KEEP	GARBAGE
odispo	46	Obispo	SONNET_NAME	NAME	GARBAGE
aequiring	45	acquiring	AUTO_SAFE	FIX	FIX
gations	45	obligations	SONNET_FIX	FIX	FIX
monagan	45	Monagan	SONNET_NAME	NAME	NAME
nondecay	45		KEEP	KEEP	KEEP
nondelinquent	45		KEEP	KEEP	KEEP
nonhospital	45		KEEP	KEEP	KEEP
seventyone	45	seventy-one	SONNET_FIX	FIX	FIX
eeeeeeeeees	44		GARBAGE_FLAG	GARBAGE	GARBAGE
hearme	44		GARBAGE_FLAG	GARBAGE	GARBAGE
incorpo	44	incorporates	SONNET_FIX	FIX	FIX
nonprotected	44		KEEP	KEEP	FIX
steerers	44		KEEP	KEEP	FIX
uncler	44	unclear	SONNET_FIX	FIX	FIX
vuich	44	such	AUTO_SAFE	FIX	FIX
xiia	44		KEEP	KEEP	GARBAGE
anveles	43	Angeles	SONNET_NAME	NAME	GARBAGE
appropriain	43	appropriation	AUTO_SAFE	FIX	FIX
cighty-three	43	eighty-three	SONNET_FIX	FIX	FIX
coer	43	cover	SONNET_FIX	FIX	FIX
drytown	43	Drytown	SONNET_NAME	NAME	NAME
hercinabove	43	hereinabove	SONNET_FIX	FIX	GARBAGE
istrator	43	administrator	AUTO_SAFE	FIX	FIX
licensce	43	license	AUTO_SAFE	FIX	FIX
nonmerit	43		KEEP	KEEP	KEEP
terins	43	terms	SONNET_FIX	FIX	GARBAGE
bation	42	probation	SONNET_FIX	FIX	FIX
butions	42	contributions	SONNET_FIX	FIX	FIX
certineate	42	certificate	AUTO_SAFE	FIX	FIX
dihydrocodeinone	42		KEEP	KEEP	KEEP
eeeeeeeeeeeeee	42		GARBAGE_FLAG	GARBAGE	GARBAGE
heensee	42	licensee	SONNET_FIX	FIX	GARBAGE
nonconfining	42		KEEP	KEEP	KEEP
onehundredths	42	one-hundredths	SONNET_FIX	FIX	KEEP
rnade	42	made	AUTO_SAFE	FIX	FIX
roncovieri	42	Roncovieri	SONNET_NAME	NAME	NAME
stule	42	statute	SONNET_FIX	FIX	FIX
tified	42	certified	AUTO_SAFE	FIX	FIX
audiometrist	41		KEEP	KEEP	FIX
cahformia	41	california	SONNET_FIX	FIX	NAME
depu	41	deputy	SONNET_FIX	FIX	GARBAGE
domenigoni	41	Domenigoni	SONNET_NAME	NAME	NAME
eceeee	41		GARBAGE_FLAG	GARBAGE	GARBAGE
exeented	41	executed	SONNET_FIX	FIX	FIX
fortytwo	41	forty-two	SONNET_FIX	FIX	KEEP
honses	41	houses	AUTO_SAFE	FIX	FIX
jtpa	41		KEEP	KEEP	GARBAGE
nonassisted	41		KEEP	KEEP	FIX
pledgees	41		KEEP	KEEP	FIX
privatizer	41		KEEP	KEEP	FIX
rectly	41	directly	AUTO_SAFE	FIX	FIX
rutes	41	rules	AUTO_SAFE	FIX	FIX
siskivou	41	Siskiyou	SONNET_NAME	NAME	GARBAGE
statcs	41	states	AUTO_SAFE	FIX	FIX
torth	41	forth	AUTO_SAFE	FIX	FIX
annim	40	annum	SONNET_FIX	FIX	NAME
appropna	40	appropriation	SONNET_FIX	FIX	GARBAGE
chises	40	franchises	SONNET_FIX	FIX	FIX
dations	40	foundations	SONNET_FIX	FIX	FIX
demulsifiers	40		KEEP	KEEP	FIX
elee	40	else	SONNET_FIX	FIX	NAME
exeention	40	exemption	SONNET_FIX	FIX	FIX
inaking	40	making	SONNET_FIX	FIX	FIX
inws	40	laws	SONNET_FIX	FIX	GARBAGE
midpeninsula	40		KEEP	KEEP	NAME
misdemeanants	40		KEEP	KEEP	FIX
nonprepackaged	40		KEEP	KEEP	GARBAGE
ppropria	40	appropriation	SONNET_FIX	FIX	GARBAGE
revolv	40	revolve	AUTO_SAFE	FIX	FIX
audiometrists	39		KEEP	KEEP	KEEP
btals	39	totals	SONNET_FIX	FIX	GARBAGE
caminetti	39	Caminetti	SONNET_NAME	NAME	NAME
compensability	39		KEEP	KEEP	GARBAGE
cost-of-hving	39	cost-of-living	SONNET_FIX	FIX	GARBAGE
displaved	39	displayed	AUTO_SAFE	FIX	FIX
forestwide	39		KEEP	KEEP	FIX
fortyone	39	forty-one	SONNET_FIX	FIX	FIX
inany	39	in any	SONNET_FIX	FIX	FIX
levving	39	levying	AUTO_SAFE	FIX	FIX
ninetysix	39	ninety-six	SONNET_FIX	FIX	KEEP
nonerasable	39		KEEP	KEEP	GARBAGE
nonfederally	39		KEEP	KEEP	KEEP
nonpotable	39		KEEP	KEEP	KEEP
reneal	39	repeal	AUTO_SAFE	FIX	FIX
tations	39	stations	AUTO_SAFE	FIX	FIX
termof	39	term of	SONNET_FIX	FIX	GARBAGE
uncreamed	39		GARBAGE_FLAG	GARBAGE	GARBAGE
appropriaotherwise	38	appropriation otherwise	SONNET_FIX	FIX	GARBAGE
commander-in-chicf	38	commander-in-chief	SONNET_FIX	FIX	GARBAGE
culy	38	july	AUTO_SAFE	FIX	FIX
fected	38	affected	SONNET_FIX	FIX	GARBAGE
milias	38	milia	SONNET_FIX	FIX	KEEP
nonhandicapped	38		KEEP	KEEP	KEEP
nonpromotional	38		KEEP	KEEP	KEEP
nonsmall	38		KEEP	KEEP	KEEP
offunds	38	of funds	SONNET_FIX	FIX	GARBAGE
proeceding	38	proceeding	AUTO_SAFE	FIX	FIX
secunty	38	security	AUTO_SAFE	FIX	FIX
selpas	38	salpas	SONNET_FIX	FIX	GARBAGE
sucli	38	such	SONNET_FIX	FIX	GARBAGE
trar	38	registrar	SONNET_FIX	FIX	GARBAGE
twentv-five	38	twenty-five	SONNET_FIX	FIX	GARBAGE
cerns	37	concerns	SONNET_FIX	FIX	GARBAGE
counhes	37	counties	SONNET_FIX	FIX	FIX
drawal	37	withdrawal	SONNET_FIX	FIX	FIX
eeeeeeees	37		GARBAGE_FLAG	GARBAGE	GARBAGE
incumbrancers	37		KEEP	KEEP	FIX
ional	37	tional	SONNET_FIX	FIX	GARBAGE
limita	37	limitation	SONNET_FIX	FIX	FIX
meorporated	37	incorporated	SONNET_FIX	FIX	GARBAGE
neeee	37		GARBAGE_FLAG	GARBAGE	FIX
obliga	37	obligation	SONNET_FIX	FIX	FIX
polico	37	police	AUTO_SAFE	FIX	FIX
pupus	37	lupus	SONNET_FIX	FIX	GARBAGE
saie	37	sale	SONNET_FIX	FIX	FIX
setoffs	37		KEEP	KEEP	FIX
shobi-zue	37		KEEP	KEEP	GARBAGE
sisting	37	consisting	SONNET_FIX	FIX	FIX
subdistributor	37		KEEP	KEEP	KEEP
twonty-five	37	twenty-five	AUTO_SAFE	FIX	FIX
wuheereeas	37	whereas	SONNET_FIX	FIX	GARBAGE
cightcon	36	eighteen	SONNET_FIX	FIX	GARBAGE
clate	36	date	SONNET_FIX	FIX	FIX
douars	36	dollars	SONNET_FIX	FIX	GARBAGE
dupheate	36	duplicate	SONNET_FIX	FIX	FIX
ereating	36	creating	AUTO_SAFE	FIX	FIX
inholding	36		KEEP	KEEP	FIX
lishing	36	establishing	SONNET_FIX	FIX	FIX
pandalus	36		KEEP	KEEP	NAME
paranzella	36	Paranzella	SONNET_NAME	NAME	FIX
pohcy	36	policy	SONNET_FIX	FIX	GARBAGE
